GEOID,year,filings_2020,filings_avg,filings_avg_prepandemic_baseline,Census Tract Name,Total Population,Black or African American (%),Hispanic or Latino (%),White Non-Hispanic (%),Female (%),Under 18 (%),High School or Less (%),Single Mother Households (%),Poverty Rate (%),Uninsured (%),Renter Occupied Housing (%),Households with Children (Count),Renter Occupied Units (Count),state,county,tract,Eviction Rate per 1k,Pct Renter x Poverty,Pct Uninsured x HS or Less,majority_race,Poverty to Education Ratio,Youth Burden,Female to Pop Ratio,High Renter
48113000100,2020,1.75,0.875,1.9445,"Census Tract 1, Dallas County, Texas",3985,8.0,7.6,76.9,3985.0,26.0,95.8,19.1,6.7,1.0,55.3,343,776,48,113,100,0.21957340025094105,3.71,0.96,Majority White,0.07,0.00652,1.0,1
48113000100,2021,2.25,0.875,1.9445,"Census Tract 1, Dallas County, Texas",4010,5.4,8.6,77.0,4010.0,29.2,97.5,19.3,7.7,1.3,60.0,331,773,48,113,100,0.21820448877805487,4.62,1.27,Majority White,0.08,0.00728,1.0,1
48113000100,2022,3.4166666666666665,0.875,1.9445,Census Tract 1; Dallas County; Texas,3994,6.7,8.0,4.8,3994.0,26.0,100.0,16.6,0.0,0.0,58.0,280,776,48,113,100,0.21907861792689035,0.0,0.0,Mixed/Other,0.0,0.00651,1.0,1
48113000100,2023,0.9166666666666666,0.875,1.9445,Census Tract 1; Dallas County; Texas,4450,5.5,2.5,4.9,4450.0,27.2,100.0,14.3,0.0,0.0,67.2,258,663,48,113,100,0.19662921348314608,0.0,0.0,Mixed/Other,0.0,0.00611,1.0,1
48113000201,2020,0.25,0.2916666666666667,0.361,"Census Tract 2.01, Dallas County, Texas",2809,2.2,6.2,90.3,2809.0,23.5,98.7,23.3,0.0,0.0,80.6,298,477,48,113,201,0.10383291800166133,0.0,0.0,Majority White,0.0,0.00837,1.0,1
48113000201,2021,0.0,0.2916666666666667,0.361,"Census Tract 2.01, Dallas County, Texas",2736,2.2,8.0,88.3,2736.0,25.8,99.2,18.1,0.0,1.2,82.1,215,432,48,113,201,0.10660331384015595,0.0,1.19,Majority White,0.0,0.00943,1.0,1
48113000201,2022,0.0,0.2916666666666667,0.361,Census Tract 2.01; Dallas County; Texas,2872,2.1,1.2,0.9,2872.0,26.0,98.7,17.1,0.0,1.9,83.4,201,381,48,113,201,0.1015552460538533,0.0,1.88,Mixed/Other,0.0,0.00905,1.0,1
48113000201,2023,0.3333333333333333,0.2916666666666667,0.361,Census Tract 2.01; Dallas County; Texas,3088,4.1,0.3,5.3,3088.0,26.3,99.3,14.8,0.0,1.6,79.4,186,398,48,113,201,0.09445164075993093,0.0,1.59,Mixed/Other,0.0,0.00852,1.0,1
48113000202,2020,0.5833333333333334,2.0,1.22225,"Census Tract 2.02, Dallas County, Texas",3876,1.5,13.2,78.4,3876.0,22.2,98.9,18.1,0.0,0.0,50.3,334,808,48,113,202,0.5159958720330237,0.0,0.0,Majority White,0.0,0.00573,1.0,1
48113000202,2021,0.5,2.0,1.22225,"Census Tract 2.02, Dallas County, Texas",3822,4.4,10.9,79.2,3822.0,23.9,98.9,14.4,0.0,0.8,55.5,250,714,48,113,202,0.5232862375719519,0.0,0.79,Majority White,0.0,0.00625,1.0,1
48113000202,2022,0.5833333333333334,2.0,1.22225,Census Tract 2.02; Dallas County; Texas,3817,4.6,4.6,0.3,3817.0,22.5,99.9,13.8,0.0,0.9,52.0,242,757,48,113,202,0.5239717055279015,0.0,0.9,Mixed/Other,0.0,0.00589,1.0,1
48113000202,2023,1.8333333333333333,2.0,1.22225,Census Tract 2.02; Dallas County; Texas,3829,4.9,2.1,4.6,3829.0,22.8,99.2,11.7,6.0,2.4,52.3,202,759,48,113,202,0.5223295899712719,3.14,2.38,Mixed/Other,0.06,0.00595,1.0,1
48113000300,2020,0.3333333333333333,1.0416666666666667,1.4723333333333333,"Census Tract 3, Dallas County, Texas",4815,2.7,11.6,83.4,4815.0,19.7,95.9,20.9,0.0,7.1,49.0,441,896,48,113,300,0.21633783316026306,0.0,6.81,Majority White,0.0,0.00409,1.0,0
48113000300,2021,0.5,1.0416666666666667,1.4723333333333333,"Census Tract 3, Dallas County, Texas",4638,3.0,11.4,83.1,4638.0,20.4,97.7,16.4,0.0,7.9,50.5,340,831,48,113,300,0.22459393416702603,0.0,7.72,Majority White,0.0,0.0044,1.0,1
48113000300,2022,1.5833333333333333,1.0416666666666667,1.4723333333333333,Census Tract 3; Dallas County; Texas,4325,3.5,4.4,4.8,4325.0,19.1,100.0,23.5,0.0,1.9,49.8,501,1004,48,113,300,0.24084778420038538,0.0,1.9,Mixed/Other,0.0,0.00442,1.0,0
48113000300,2023,1.1666666666666667,1.0416666666666667,1.4723333333333333,Census Tract 3; Dallas County; Texas,4133,2.6,0.3,3.9,4133.0,17.1,100.0,26.5,0.0,1.5,49.2,560,940,48,113,300,0.25203645455278656,0.0,1.5,Mixed/Other,0.0,0.00414,1.0,0
48113000401,2020,4.166666666666667,12.333333333333334,10.110999999999999,"Census Tract 4.01, Dallas County, Texas",4645,18.9,40.1,34.3,4645.0,16.1,71.2,14.7,26.0,17.1,14.0,262,755,48,113,401,2.6551847865087908,3.64,12.18,Mixed/Other,0.37,0.00347,1.0,0
48113000401,2021,4.583333333333333,12.333333333333334,10.110999999999999,"Census Tract 4.01, Dallas County, Texas",4448,20.2,40.0,31.6,4448.0,15.8,75.4,18.0,28.1,12.2,10.7,335,933,48,113,401,2.772781774580336,3.01,9.2,Mixed/Other,0.37,0.00355,1.0,0
48113000401,2022,10.583333333333334,12.333333333333334,10.110999999999999,Census Tract 4.01; Dallas County; Texas,4649,23.9,14.6,6.9,4649.0,15.8,79.5,17.6,20.8,10.2,10.6,361,1043,48,113,401,2.6529002652900266,2.2,8.11,Mixed/Other,0.26,0.0034,1.0,0
48113000401,2023,11.25,12.333333333333334,10.110999999999999,Census Tract 4.01; Dallas County; Texas,4666,22.8,1.7,25.5,4666.0,12.8,79.1,12.4,0.0,5.6,8.7,260,1085,48,113,401,2.6432347478211176,0.0,4.43,Mixed/Other,0.0,0.00274,1.0,0
48113000405,2020,5.416666666666667,12.041666666666666,12.138833333333332,"Census Tract 4.05, Dallas County, Texas",2406,36.5,33.1,27.1,2406.0,12.8,81.6,23.5,0.0,10.4,7.3,303,664,48,113,405,5.004848988639512,0.0,8.49,Mixed/Other,0.0,0.00532,1.0,0
48113000405,2021,4.833333333333333,12.041666666666666,12.138833333333332,"Census Tract 4.05, Dallas County, Texas",2276,34.9,30.5,30.0,2276.0,13.8,92.5,30.1,0.0,13.2,7.8,385,709,48,113,405,5.290714704159344,0.0,12.21,Mixed/Other,0.0,0.00606,1.0,0
48113000405,2022,8.333333333333334,12.041666666666666,12.138833333333332,Census Tract 4.05; Dallas County; Texas,1971,43.8,5.9,4.0,1971.0,10.7,92.0,24.8,0.0,7.4,6.2,311,680,48,113,405,6.10941992220531,0.0,6.81,Mixed/Other,0.0,0.00543,1.0,0
48113000405,2023,10.75,12.041666666666666,12.138833333333332,Census Tract 4.05; Dallas County; Texas,1897,51.3,0.2,10.8,1897.0,7.9,91.6,26.6,0.0,8.1,10.5,350,727,48,113,405,6.347742048849059,0.0,7.42,Majority Black,0.0,0.00416,1.0,0
48113000407,2020,0.75,4.416666666666667,1.8889166666666668,"Census Tract 4.07, Dallas County, Texas",2039,6.3,60.3,28.0,2039.0,23.2,80.2,18.6,0.0,12.6,24.6,177,616,48,113,407,2.1660944907634465,0.0,10.11,Majority Hispanic,0.0,0.01138,1.0,0
48113000407,2021,0.4166666666666667,4.416666666666667,1.8889166666666668,"Census Tract 4.07, Dallas County, Texas",2148,7.4,58.1,24.5,2148.0,25.8,84.3,20.2,0.0,11.7,24.2,205,643,48,113,407,2.0561762880198633,0.0,9.86,Majority Hispanic,0.0,0.01201,1.0,0
48113000407,2022,1.3333333333333333,4.416666666666667,1.8889166666666668,Census Tract 4.07; Dallas County; Texas,2187,9.1,9.7,6.2,2187.0,24.4,91.0,22.8,0.0,14.4,20.4,248,713,48,113,407,2.019509221155312,0.0,13.1,Mixed/Other,0.0,0.01116,1.0,0
48113000407,2023,4.083333333333333,4.416666666666667,1.8889166666666668,Census Tract 4.07; Dallas County; Texas,2235,7.7,2.8,63.4,2235.0,22.0,89.8,19.0,0.0,1.9,21.6,203,602,48,113,407,1.97613721103654,0.0,1.71,Majority White,0.0,0.00984,1.0,0
48113000408,2020,0.6666666666666666,5.375,2.1668333333333334,"Census Tract 4.08, Dallas County, Texas",2465,6.5,25.6,53.6,2465.0,9.7,95.1,29.4,0.0,0.0,42.2,435,919,48,113,408,2.18052738336714,0.0,0.0,Majority White,0.0,0.00394,1.0,0
48113000408,2021,3.4166666666666665,5.375,2.1668333333333334,"Census Tract 4.08, Dallas County, Texas",2287,6.5,21.6,57.9,2287.0,9.4,90.6,31.7,0.0,0.0,44.8,446,830,48,113,408,2.35024048972453,0.0,0.0,Majority White,0.0,0.00411,1.0,0
48113000408,2022,4.083333333333333,5.375,2.1668333333333334,Census Tract 4.08; Dallas County; Texas,2301,6.6,18.0,12.3,2301.0,10.2,94.5,23.7,0.0,3.8,43.9,335,799,48,113,408,2.335940895262929,0.0,3.59,Mixed/Other,0.0,0.00443,1.0,0
